course	minutes	title	path
Micro	7	JC Polyomavirus & BK Polyomavirus (Polyomaviridae)	dna-viruses/lesson/jc-polyomavirus-bk-polyomavirus-polyomaviridae
Micro	14	Human Papillomavirus (Papillomaviridae)	dna-viruses/lesson/human-papillomavirus-papillomaviridae
Micro	7	Parvovirus B19 (Parvoviridae)	dna-viruses/lesson/parvovirus-b19-parvoviridae
Micro	5	Adenovirus (Adenoviridae)	dna-viruses/lesson/adenovirus-adenoviridae
Micro	8	Smallpox Virus, Cowpox Virus, and Molluscum Contagiosum Virus (Poxviridae)	dna-viruses/lesson/smallpox-virus-cowpox-virus-and-molluscum-contagiosum-virus-poxviridae
Micro	19	Hepatitis B Viral Basics & Infectious Diseases (Hepadnaviridae)	dna-viruses/lesson/hepatitis-b-viral-basics-infectious-diseases-hepadnaviridae
Micro	6	Hepatitis B Viral Life Cycle (Hepadnaviridae) [Old Version]	dna-viruses/lesson/hepatitis-b-viral-life-cycle-hepadnaviridae
Micro	5	Giardia lamblia	protozoa-of-the-intestinal-tract/lesson/giardia-lamblia
Micro	8	Entamoeba histolytica	protozoa-of-the-intestinal-tract/lesson/entamoeba-histolytica
Micro	5	Cryptosporidium spp.	protozoa-of-the-intestinal-tract/lesson/cryptosporidium-spp
Micro	9	Toxoplasma gondii	protozoa-of-the-cns/lesson/toxoplasma-gondii
Micro	10	Trypanosoma brucei	protozoa-of-the-cns/lesson/trypanosoma-brucei
Micro	6	Naegleria fowleri	protozoa-of-the-cns/lesson/naegleria-fowleri
Micro	9	Trypanosoma cruzi	protozoa-of-the-blood/lesson/trypanosoma-cruzi
Micro	7	Babesia spp.	protozoa-of-the-blood/lesson/babesia-spp
Micro	13	Plasmodium: Infection & Lifecycle	protozoa-of-the-blood/lesson/plasmodium-infection-lifecycle
Micro	9	Plasmodium: Treatment & PPX	protozoa-of-the-blood/lesson/plasmodium-treatment-ppx
Micro	6	Leishmania braziliensis & donovani	protozoa-of-the-blood/lesson/leishmania-braziliensis-donovani
Micro	8	Trichomonas vaginalis	protozoa-other-tissue/lesson/trichomonas-vaginalis
Micro	13	Intestinal Nematodes: Enterobius, Ancylostoma, Necator, Ascaris, Strongyloides, and Trichinella	helminths-nematodes/lesson/intestinal-nematodes-enterobius-ancylostoma-necator-ascaris-strongyloides-and-trichinella
Micro	11	Tissue Nematodes: Dracunculus medinensis, Wuchereria bancrofti, Onchocerca volvulus, Toxocara canis, and Loa loa	helminths-nematodes/lesson/tissue-nematodes-dracunculus-medinensis-wuchereria-bancrofti-onchocerca-volvulus-toxocara-canis-and-loa-loa
Micro	10	Cestodes	helminths-trematodes-cestodes/lesson/cestodes
Micro	11	Trematodes	helminths-trematodes-cestodes/lesson/trematodes
Micro	11	Scabies, Lice, Crabs	ectoparasites/lesson/scabies-lice-crabs
Pharm	17	Digoxin	heart-failure-drugs/lesson/digoxin
Pharm	30	Heparin, LMWH, Fondaparinux, Direct Thrombin Inhibitors, Xa Inhibitors	anticoagulants-thrombolytics/lesson/heparin-lmwh-fondaparinux-direct-thrombin-inhibitors-xa-inhibitors
Pharm	21	Warfarin	anticoagulants-thrombolytics/lesson/warfarin
Pharm	29	Antiplatelet Agents	anticoagulants-thrombolytics/lesson/antiplatelet-agents
Pharm	15	Thrombolytics	anticoagulants-thrombolytics/lesson/thrombolytics
Pharm	7	Immunosuppressants	anti-inflammatory/lesson/immunosuppressants
Pharm	20	Opioids, Naloxone, Naltrexone	anesthetics-analgesics/lesson/opioids-naloxone-naltrexone
Pharm	16	Tricyclic Antidepressants	antidepressants-anxiolytics/lesson/tricyclic-antidepressants
Pharm	12	Lithium	mood-stabilizers-antiepileptic-drugs/lesson/lithium
Pharm	20	Benzodiazepines & Flumazenil	sedative-hypnotics/lesson/benzodiazepines-flumazenil
Pharm	14	Barbiturates	sedative-hypnotics/lesson/barbiturates
Pharm	13	Penicillin	cell-wall-membrane-active-antibiotics/lesson/penicillin
Pharm	6	Nafcillin, Oxacillin, Methicillin, Dicloxacillin	cell-wall-membrane-active-antibiotics/lesson/nafcillin-oxacillin-methicillin-dicloxacillin
Pharm	13	Ampicillin, Amoxicillin, Piperacillin, Ticarcillin	cell-wall-membrane-active-antibiotics/lesson/ampicillin-amoxicillin-piperacillin-ticarcillin
Pharm	15	Cephalosporins	cell-wall-membrane-active-antibiotics/lesson/cephalosporins
Pharm	9	Monobactams & Carbapenems	cell-wall-membrane-active-antibiotics/lesson/monobactams-carbapenems
Pharm	11	Vancomycin	cell-wall-membrane-active-antibiotics/lesson/vancomycin
Pharm	6	Daptomycin	cell-wall-membrane-active-antibiotics/lesson/daptomycin
Pharm	13	Tetracyclines	inhibitors-of-bacterial-protein-synthesis/lesson/tetracyclines
Pharm	9	Macrolides	inhibitors-of-bacterial-protein-synthesis/lesson/macrolides
Pharm	11	Clindamycin	inhibitors-of-bacterial-protein-synthesis/lesson/clindamycin
Pharm	5	Chloramphenicol	inhibitors-of-bacterial-protein-synthesis/lesson/chloramphenicol
Pharm	7	Linezolid	inhibitors-of-bacterial-protein-synthesis/lesson/linezolid
Pharm	13	Aminoglycosides	inhibitors-of-bacterial-protein-synthesis/lesson/aminoglycosides
Pharm	17	Tuberculosis Drugs	antimycobacterials/lesson/tuberculosis-drugs
Pharm	7	Leprosy Drugs	antimycobacterials/lesson/leprosy-drugs
Pharm	17	Trimethoprim/Sulfamethoxazole	other-antibiotics/lesson/trimethoprimsulfamethoxazole
Pharm	12	Fluoroquinolones	other-antibiotics/lesson/fluoroquinolones
Pharm	9	Metronidazole	other-antibiotics/lesson/metronidazole
Pharm	12	Amphotericin & Flucytosine	antifungals/lesson/amphotericin-flucytosine
Pharm	12	Azoles	antifungals/lesson/azoles
Pharm	9	Griseofulvin, Terbinafine, Echinocandins	antifungals/lesson/griseofulvin-terbinafine-echinocandins
Pharm	9	Plasma Concentration & Therapeutic Range	pharmacokinetic-basics/lesson/plasma-concentration-therapeutic-range
Pharm	16	Drug Distribution & Protein Binding	distribution/lesson/drug-distribution-protein-binding
Pharm	11	Volume of Distribution	distribution/lesson/volume-of-distribution
Pharm	10	Intro to CYP450 Enzymes	metabolism/lesson/intro-to-cyp450-enzymes
Pharm	8	Clearance & Area Under the Curve	elimination/lesson/clearance-area-under-the-curve
Pharm	12	Elimination-Rate Constant, Half-Life, Steady State	elimination/lesson/elimination-rate-constant-half-life-steady-state
